Search Keyword,Loads,CTR
adidas,54149.0,23.71
image search,47402.0,11.21
nike,39734.0,23.26
asics,26638.0,21.49
iphone 17,17553.0,7.15
rokok,17052.0,20.0
hypermart,13512.0,16.84
farmers market,10969.0,11.19
vape,10420.0,12.62
alfamart,9457.0,18.18
onitsuka tiger,8093.0,14.17
rokok 1 slop,7814.0,24.55
wings,7479.0,23.89
iphone xr,7141.0,22.41
liquid,7140.0,18.1
wardah,7006.0,24.64
hush puppies,6625.0,20.86
eiger,6568.0,24.76
rokok elektrik vape,6321.0,21.78
uniqlo,6194.0,15.71
flazz,5989.0,24.28
pods vape,5937.0,24.63
implora,5765.0,22.06
liquid pod,5272.0,20.14
rokok hs,5250.0,23.31
foom,5191.0,24.77
asics gel kayano 31,5081.0,22.38
under armour,4647.0,23.93
iphone 17 pro max,4553.0,9.09
tiptop online official store,4544.0,17.56
h&m,4344.0,16.07
nutrilon royal 3,4077.0,24.97
tiptop,3984.0,9.81
pesan tiket pesawat,3792.0,13.98
butik emas antam official store,3648.0,24.56
stanley,3465.0,11.72
baju,3411.0,20.32
blibli,3376.0,4.0
liquid vape,3342.0,15.29
onitsuka,3304.0,15.77
iphone 17 pro,3276.0,5.92
natur,3146.0,22.7
iphone xr ibox,3110.0,21.06
salsa,3102.0,16.15
farmers market official store,3057.0,10.3
polytron,2982.0,23.41
on,2867.0,24.28
birkenstock,2813.0,24.64
pods,2774.0,18.75
careso,2736.0,24.67
farmers,2712.0,9.77
goojodoq,2708.0,13.48
decathlon,2622.0,15.1
sony,2563.0,23.18
rokok sampoerna mild,2512.0,21.06
rokok online,2507.0,13.56
hotel,2484.0,9.66
azko,2483.0,14.62
butik emas antam flagship store,2468.0,24.47
marshwillow,2430.0,11.81
miniso,2400.0,18.88
iqos,2369.0,23.05
tip top,2242.0,4.24
celana,2226.0,20.4
iphone xr second,2151.0,16.23
pulsa,2122.0,17.11
nike official store,2040.0,24.95
xiaomi 17 pro,1966.0,13.89
rokok surya 16,1963.0,15.13
beautyspot,1948.0,8.88
mills,1932.0,20.81
levis,1918.0,23.2
blibli - apple authorized reseller flagship store,1872.0,16.08
ranch market,1854.0,6.36
coros,1850.0,22.16
dekoruma,1839.0,22.24
iswhite,1815.0,21.98
specs,1810.0,19.12
hasan mart,1733.0,21.29
pocari,1729.0,15.56
vapor,1722.0,15.74
ripcurl,1716.0,23.48
microwave sharp,1709.0,23.0
hnm,1702.0,5.52
poppers,1685.0,2.79
skingame,1661.0,14.39
hp murah,1661.0,5.3
buku,1630.0,18.59
tembakau,1616.0,17.45
rokok murah 1 slop,1612.0,21.4
informa,1602.0,24.78
xiaomi 17 pro max,1598.0,6.07
cerutu,1596.0,24.12
tiket,1591.0,5.59
rokok elektrik,1582.0,16.18
laneige,1577.0,24.03
loreal,1573.0,24.16
xiaomi 10a official,1551.0,0.26
watsons official store,1536.0,5.66
fresh track,1516.0,9.96
hypermart official store,1515.0,5.02
the executive,1505.0,11.36
langgan fbb,1503.0,24.15
xiaomi store official store,1494.0,21.69
guess,1494.0,16.73
jacquelle,1485.0,22.15
hp second,1456.0,24.59
esse,1456.0,24.45
aio,1450.0,22.97
erafone,1423.0,23.61
elvicto,1415.0,18.16
iphone 12 second,1395.0,23.3
roko,1386.0,15.22
kiip,1373.0,22.14
hp iphone 17 pro max,1364.0,11.51
rokok smith,1331.0,17.43
adidas flagship store,1305.0,10.04
tip top official,1271.0,3.38
farmers market flagship store,1237.0,8.33
cialis,1234.0,24.64
watsons,1219.0,18.54
