C3Name,C3Code
Wonderful Indonesia,WO-1000026
Jasa Transportasi,TR-1000077
Tour Luar Negeri,JE-1000058
Perlengkapan Perjalanan,TI-1000111
Musik,MU-1000075
Non-Musik,NO-1000026
Donasi,DO-1000033
Qurban,QU-1000009
Bahasa Asing,BA-1000594
Kursus Profesional,IT-1000004
Keterampilan,KE-1000300
Kursus & Kegiatan Anak,KU-1000138
Asuransi,AS-1000041
Investasi,IN-1000081
Event Organizer & Paket Acara,EV-1000004
Franchise & Kemitraan,FR-1000020
"Jasa Arsitek, Tukang Bangunan, & Elektronik",JA-1000220
Jasa Bersih Rumah & Gedung,JA-1000218
Perawatan Hewan & Tanaman,PE-1001398
Jasa Foto & Video,JA-1000217
Jasa Laundry,JA-1000219
Konsultasi Hukum & Pajak,KO-1000178
Tiket Atraksi & Hiburan Luar Negeri,TI-1000113
Tiket Atraksi & Hiburan Domestik,TI-1000112
Voucher Hiburan,VO-1000142
Streaming,ST-1000197
Kartu Uang Elektronik,KA-1000215
Media Digital,DI-1000077
Blibli GiftCard,BL-1000122
Groceries,GR-1000015
Lifestyle,FA-1000058
Voucher BBM & Transportasi,VO-1000083
Voucher Belanja Lainnya,VO-1000053
Perawatan Gigi,PE-1001078
Perawatan Tubuh,PE-1001079
Perawatan Wajah,PE-1001077
Voucher Kesehatan,VO-1000073
Voucher Olahraga,VO-1000074
Resto & Cafe,RE-1000102
Snacks & Desserts,SN-1000028
Catering,VO-1000081
Voucher Food Delivery,VO-1000082
Coffee Maker,CO-1000002
Cooker & Cooker Hood,CO-1000001
Blender & Blender Tangan,BL-1000006
Juicer,JU-1000002
Rice Cooker,RI-1000003
Slow Cooker,SL-1000003
Food Processor & Food Chopper,FO-1000055
Pressure Cooker,PR-1000010
Mixer,MI-1000013
Food Steamer,FO-1000006
Air Fryer,AI-1000005
Microwave & Oven,MI-1000003
Toaster,TO-1000004
Timbangan Dapur,TI-1000010
Penggiling Daging,PE-1000085
Pemotong Elektrik,PE-1000084
Pengupas Elektrik,PE-1000083
Pisau Elektrik,PI-1000003
Thermo Pot,TH-1000001
Panci Elektrik,PA-1000027
Ketel Listrik,KE-1000026
Penggorengan Elektrik,PE-1000082
Pemanggang Elektrik,PE-1000081
Penyaring Air & Aksesoris,PE-1001081
Dispenser,DI-1000009
Dishwasher,DI-1000012
Sterilizer,ST-1000015
Perangkat Pengolah Makanan,PE-1000087
Mesin Cuci,ME-1000185
Mesin Cuci Pengering Pakaian,ME-1000014
Mikrofon,MI-1000005
Aksesoris Audio,AK-1000018
Speaker,SP-1000006
Earphone & Headphone,HE-1000001
Audio Mixer,AU-1000003
Media Player,AU-1000002
DJ Equipment,DJ-1000003
Recording,RE-1000142
Instrument Elektrik,IN-1000085
Kulkas,KU-1000008
Chiller,CH-1000045
Freezer,FR-1000018
Air Conditioner,AI-1000002
Kipas Angin,KI-1000002
Air Cooler,AI-1000003
Dehumidifier,DE-1000009
Humidifier,HU-1000002
Pemanas Ruangan,PE-1001072
Air Purifier & Aksesoris,AI-1000030
Pemanas Air,PE-1000015
Setrika - Iron,SE-1000014
Mesin Jahit,ME-1000015
Penghisap Debu,PE-1000008
Pompa Air,PO-1000003
Pengontrol Hama,PE-1000060
Home Appliances Lainnya,HO-1000074
TV LCD/LED,TE-1000004
TV Tabung,TE-1000007
Aksesoris TV,AK-1000367
Smart Security,SM-1000033
Smart Lighting,SM-1000032
Smart Entertainment,SM-1000031
Smart Connectivity,SM-1000030
Smart Appliances,SM-1000029
Security & CCTV,SE-1000002
Mobil Baru,MO-1000009
Mobil Bekas,MO-1000049
Leasing Mobil,LE-1000008
PowerAce,PO-1000111
Hunter,HU-1000049
Italjet,IT-1000018
Royal Alloy,RO-1000149
Mforce,MF-1000017
Morbidelli,MO-1000177
Yamaha Motor,YA-1000001
Mini Motor,YA-1000002
Vespa,VE-1000038
SM SPORT,VI-1000025
Viar Motor,VI-1000005
TVS Motor,TV-1000007
SYM Motor,SY-1000001
Suzuki Motor,SU-1000017
Piaggio,PI-1000009
Peugeot Motocycles,PE-1000307
Nozomi,NO-1000009
Motor Listrik,SE-1000049
Motoguzzi,MO-1000031
Leasing & Pendanaan Motor,LE-1000009
Kymco Motor,KY-1000002
KTM,KT-1000001
Kawasaki Motor,KA-1000051
Honda Motor,HO-1000011
Harley Davidson,HA-1000052
Gazgas,GA-1000087
Ducati,DU-1000011
Daytona Motor,DA-1000013
Cleveland Cyclewerks,CL-1000034
BMW Motor,BM-1000001
Benelli,NO-1000013
Aprilia,AP-1000018
ATV,AT-1000005
Qooder,AP-1000005
QJ Motor,AP-1000010
Motor Air,MO-1000069
Lambretta,LA-1000114
Royal Enfield,RO-1000057
Motor Kaisar,TR-1000055
Husqvarna,HU-1000033
CAN-AM,CA-1000087
Motor Bekas Bergaransi,MO-1000088
Keeway,KE-1000280
Tukar Tambah Motor,TU-1000029
Case Construction,AS-1000018
Leasing Alat Berat,LE-1000108
XCMG,CA-1000071
Kato,KA-1000190
Liugong,KO-1000108
Lonking,SC-1000022
Truck,TR-1000049
Volvo,VO-1000047
Bobcat,BO-1000094
Doosan,DO-1000027
Shantui,MA-1000179
Lovol,SI-1000057
Kobelco,KO-1000134
New Holland,NE-1000022
Iveco Truck,IV-1000002
SDLG,SU-1000114
Forklift,FO-1000044
Suku Cadang Alat Berat,SU-1000109
Caterpilar,CA-1000123
Hitachi,HI-1000085
Kubota,SA-1000168
Bomac,BO-1000139
Tadano,TA-1000171
SYZG,HY-1000008
Sumitomo,SU-1000149
Spare Parts Truck dan Mobil Komersial,SP-1000125
Mesin Industri,ME-1000161
Autometer Motor,AU-1000010
Sistem Rem,SI-1000006
Aksesoris Motor Lainnya,AK-1000077
Mur Motor,MU-1000012
Baut Motor,BA-1000096
Velg Motor,VE-1000003
Alarm Motor,AL-1000010
Knalpot,KN-1000002
Box,BO-1000018
Stang Motor,ST-1000027
Braket,BR-1000009
Handgrip,HA-1000035
Cover Motor,CO-1000016
Foot Step,FO-1000010
Kunci Pengaman,KU-1000024
Jok Motor,JO-1000004
Rumah Lampu & Aksesoris Lainnya,RU-1000007
Bohlam Lampu Motor,BO-1000035
Spion Motor,SP-1000089
Visor & Windshield Motor,VI-1000029
Handle Lever Motor,HA-1000116
Body Motor,BO-1000098
Ban Motor,BA-1000091
Oli Motor,OL-1000014
Filter Oli Motor,FI-1000013
Filter Udara Motor,FI-1000014
Suspensi Motor,SU-1000022
Rantai,RA-1000007
Rem Motor,RE-1000026
Belt,BE-1000017
Gear,GE-1000009
Aki Motor,AC-1000019
Karburator,KA-1000058
Spare part lainnya,SP-1000025
Blok Mesin Motor,BL-1000100
Busi Motor,BU-1000115
ECU Motor,EC-1000002
Kampas Kopling Motor,KA-1000205
Piston Motor,PI-1000030
Aki Mobil,AK-1000097
Aki Baterai Mobil,AK-1000098
Autometer Mobil,AU-1000009
Ban Mobil,BA-1000089
Baut Mobil,BA-1000090
Bohlam Lampu Mobil,BO-1000032
Busi Mobil,BU-1000026
Filter Oli Mobil,FI-1000010
Filter Udara Mobil,FI-1000011
Klakson Mobil,KL-1000001
Mur Mobil,MU-1000010
Oli Mobil,OL-1000013
Rem Mobil,RE-1000024
Rumah Lampu Mobil,RU-1000006
Setir & Aksesoris,SE-1000056
Sistem Mesin Mobil,SI-1000004
Sistem Pengapian Mobil,SI-1000005
Suku Cadang Mobil Lainnya,SU-1000023
Suspensi Mobil,SU-1000024
Velg Mobil,VE-1000004
Wiper Mobil,WI-1000007
Aksesoris Audio Mobil Lainnya,AK-1000080
Amplifier Mobil,AM-1000005
Head Unit,HE-1000006
Speaker Mobil,SP-1000017
Celana Balap,CE-1000024
Celana Touring,CE-1000025
Decker,DE-1000014
Helm,HE-1000007
Jaket Otomotif,JA-1000035
Jas Hujan & Ponco,JA-1000036
Kacamata Motor,KA-1000050
Pelindung Kepala,PE-1000207
Sarung Tangan,SA-1000020
Sepatu Boot Touring,SE-1000043
Masker Motor,MA-1000193
Pakaian Kasual Otomotif,PA-1000228
Aksesoris Berkendara Lainnya,AK-1000266
Base Layer,BA-1000373
Interior Mobil,IN-1000006
Eksterior Mobil,EK-1000001
Alat Kebersihan Lainnya,AL-1000025
Cairan Pembersih Ban,CA-1000019
Cairan Pembersih Eksterior Kendaraan,CA-1000020
Cairan Pembersih Interior Kendaraan,CA-1000021
Cairan Pembersih Kaca Mobil,CA-1000022
Cairan Pembersih Mesin Mobil,CA-1000023
Cairan Pembersih Velg,CA-1000024
Cairan Penambah Daya Mesin (Engine Booster),CA-1000025
Jasa Perawatan Mesin Mobil,JA-1000041
Kemoceng,KE-1000053
Paket Perawatan Kendaraan,PA-1000062
Pelindung Cat Kendaraan Mobil,PE-1000233
Pelindung Cat kendaraan Motor,PE-1000234
Pelumas Mobil,PE-1000235
Pengharum,PE-1000236
Penghemat Bahan Bakar,PE-1000237
Penghisap Debu & Cleaner,PE-1000238
Salon Mobil Paket Exterior,SA-1000021
Salon Mobil Paket Interior,SA-1000022
Salon Mobil Paket Interior & Exterior,SA-1000023
Tempat Sampah Mobil,TE-1000030
Mini Cooper,MI-1000128
Kawasaki,KA-1000221
Honda,HO-1000047
Yamaha,YA-1000008
Kawahara,KA-1000220
Ducati,DU-1000021
Mercedez Benz,ME-1000133
BMW,BM-1000009
BMW Motorrad,BM-1000011
VR 46,VR-1000002
Harley Davidson,HA-1000249
Brand Lainnya,BR-1000045
Air Tools & Compressor,AI-1000008
Aksesoris Perjalanan,AK-1000095
Kotak Alat,KO-1000035
Perkakas Tangan Otomotif,PE-1000227
Dongkrak,DO-1000011
Keamanan Mobil,KE-1000049
Keamanan Motor,KE-1000050
Paket Peralatan Kendaraan,PA-1000061
Peralatan Darurat,PE-1000228
Peralatan Kendaraan Lainnya,PE-1000229
Asuransi Mobil,AS-1000002
Asuransi Motor,AS-1000003
Sneakers Sports Wanita,LI-1000050
Sneakers Sports Pria,LI-1000051
Luxury Sneakers,LU-1000031
Atasan Olahraga Anak,AT-1000084
Bawahan Olahraga Anak,BA-1000758
Sepatu Olahraga Anak Laki-Laki,SE-1000577
Sepatu Olahraga Anak Perempuan,SE-1000580
Boxing,BO-1000267
Panahan / Archery,PA-1000495
Pakaian Lari Pria,PA-1000012
Pakaian Lari Wanita,PA-1000013
Sepatu Lari,SE-1000019
Kaos Kaki Lari,KA-1000027
Aksesoris Lari,AK-1000041
Tas Lari,TA-1000019
Pakaian Renang Pria,PA-1000024
Pakaian Renang Wanita,PA-1000025
Aksesoris Olahraga Air,AK-1000052
Peralatan Olahraga Air,PE-1000075
Pakaian Golf Pria,PA-1000029
Pakaian Golf Wanita,PA-1000030
Sepatu Golf,SE-1000028
Peralatan Golf,PE-1000107
Aksesoris Golf Lainnya,AK-1000065
Pakaian Bela Diri,PA-1000035
Peralatan Bela Diri,PE-1000112
Aksesoris Bela Diri,AK-1000068
