SearchTerm,C3Code,C3Label,Count
adidas,SE-1000019,Sepatu Lari,2650
adidas,LI-1000051,Sneakers Sports Pria,2493
adidas,LI-1000050,Sneakers Sports Wanita,986
adidas,SE-1000027,Sepatu Sepakbola,485
adidas,LI-1000049,Lifestyle Sporty Atasan Pria,474
image search,AN-1000001,Android,148
image search,TE-1000004,TV LCD/LED,77
image search,SE-1000002,Security & CCTV,39
image search,KA-1000008,Kamera Mirrorless,13
image search,PE-1000024,Peralatan Seni & Kerajinan,10
nike,SE-1000019,Sepatu Lari,1870
nike,LI-1000051,Sneakers Sports Pria,1840
nike,SN-1000001,Sepatu Sneaker Pria,1026
nike,SE-1000024,Sepatu Basket,1013
nike,LI-1000050,Sneakers Sports Wanita,872
asics,SE-1000019,Sepatu Lari,764
asics,SE-1000029,Sepatu Tennis,462
asics,LI-1000051,Sneakers Sports Pria,354
asics,PA-1000012,Pakaian Lari Pria,182
asics,PA-1000013,Pakaian Lari Wanita,139
iphone 17,CA-1000001,Casing,60
iphone 17,AK-1000405,Aksesoris Apple,12
iphone 17,IP-1000001,iPhone,12
iphone 17,WE-1000057,Wearable Apple,6
rokok,AI-1000030,Air Purifier & Aksesoris,340
rokok,IN-1000006,Interior Mobil,286
rokok,MU-1000005,Vitamin,117
rokok,PE-1000236,Pengharum,110
rokok,CH-1000001,Charge,79
hypermart,MA-1000331,Makanan Halal,1584
hypermart,BI-1000034,Biskuit & Snack,1229
hypermart,BU-1000097,Bumbu Masak,779
hypermart,PE-1000648,Perawatan Kulit Badan,737
hypermart,MI-1000188,Minuman Halal,634
farmers market,MA-1000331,Makanan Halal,5213
farmers market,BI-1000034,Biskuit & Snack,2548
farmers market,BU-1000097,Bumbu Masak,2091
farmers market,MI-1000188,Minuman Halal,1905
farmers market,PE-1000648,Perawatan Kulit Badan,1140
vape,PE-1000642,Pembasmi Hama & Serangga,257
vape,AN-1000041,Anting Emas Berlian,26
vape,CI-1000005,Cincin Emas Berlian,26
vape,GE-1000040,Gelang Emas Berlian,24
vape,BA-1000084,Baterai,23
alfamart,MA-1000331,Makanan Halal,599
alfamart,BI-1000034,Biskuit & Snack,431
alfamart,MI-1000188,Minuman Halal,356
alfamart,SU-1000095,Susu Formula & Makanan Bayi,230
alfamart,SU-1000100,Susu & Olahan Lainnya,216
onitsuka tiger,AK-1000024,Aksesoris & Pembersih Sepatu,36
rokok 1 slop,,,
wings,PE-1000646,Pembalut & Popok Dewasa,1409
wings,PE-1000651,Pembersih Pakaian,1286
wings,MA-1000331,Makanan Halal,659
wings,AK-1000077,Aksesoris Motor Lainnya,474
wings,MA-1000161,Makanan Beku,460
iphone xr,CA-1000001,Casing,116
iphone xr,IP-1000001,iPhone,67
iphone xr,WE-1000057,Wearable Apple,38
iphone xr,MA-1000384,Mac,35
iphone xr,AK-1000405,Aksesoris Apple,34
liquid,HE-1000005,Herbal,3940
liquid,PE-1000651,Pembersih Pakaian,3143
liquid,PE-1000648,Perawatan Kulit Badan,2589
liquid,PE-1000218,Perlengkapan Medis,1973
liquid,AI-1000002,Air Conditioner,1873
wardah,RI-1000004,Riasan Wajah,893
wardah,PE-1000191,Pembersih Wajah,675
wardah,PE-1000190,Pelembab Wajah,445
wardah,RI-1000005,Riasan Bibir,412
wardah,PE-1000201,Perawatan Kulit Wajah,369
hush puppies,AT-1000001,Atasan Wanita,393
hush puppies,JA-1000110,Jam Tangan Analog Wanita,365
hush puppies,KA-1000012,Kaos Polo Pria,232
hush puppies,SH-1000004,Shoulder Bags,213
hush puppies,JA-1000120,Jam Tangan Analog Pria,169
eiger,TA-1000014,Tas Selempang Pria,1617
eiger,TA-1000015,Tas Ransel Pria,1189
eiger,TO-1000003,Topi & Bandana,844
eiger,PE-1000113,Peralatan Hiking & Camping,483
eiger,KA-1000012,Kaos Polo Pria,439
rokok elektrik vape,PE-1000642,Pembasmi Hama & Serangga,239
rokok elektrik vape,PE-1000144,Penanggulangan Hama Insektisida,8
rokok elektrik vape,DE-1000005,Dekorasi dinding,7
rokok elektrik vape,PR-1000020,Produk Kertas,6
rokok elektrik vape,TA-1000014,Tas Selempang Pria,4
uniqlo,AT-1000001,Atasan Wanita,359
uniqlo,T--1000001,T-Shirt Pria,264
uniqlo,BA-1000023,Bawahan Wanita,179
uniqlo,OU-1000002,Outerwear Wanita,158
uniqlo,PA-1000033,Pakaian Anak Laki-Laki,136
flazz,KA-1000215,Kartu Uang Elektronik,2404
flazz,ID-1000003,ID Card & Aksesoris,45
flazz,PR-1000020,Produk Kertas,15
flazz,TA-1000014,Tas Selempang Pria,10
flazz,SM-1000033,Smart Security,10
pods vape,PE-1000652,Perawatan Kulit Wajah,284
pods vape,PE-1000191,Pembersih Wajah,257
pods vape,PE-1000190,Pelembab Wajah,150
pods vape,PE-1000201,Perawatan Kulit Wajah,108
pods vape,RI-1000004,Riasan Wajah,66
implora,RI-1000005,Riasan Bibir,422
implora,RI-1000006,Produk Riasan Mata,173
implora,PE-1000201,Perawatan Kulit Wajah,96
implora,RI-1000004,Riasan Wajah,76
implora,CA-1000010,Nail Polish,35
liquid pod,PE-1000651,Pembersih Pakaian,14
liquid pod,AK-1000003,Aksesoris Handphone & Tablet Lainnya,3
liquid pod,KO-1000101,Aneka Kopi,1
liquid pod,AK-1000007,Aksesoris Wearable,1
liquid pod,AK-1000063,Aksesoris Shaver,1
rokok hs,PE-1000037,Permainan Edukasi Lainnya,11
rokok hs,PE-1001104,Permainan Sulap,5
rokok hs,PE-1000251,Perawatan Mulut & Gigi,2
rokok hs,IN-1000006,Interior Mobil,2
rokok hs,DE-1000111,Dental Tools,1
foom,AK-1000266,Aksesoris Berkendara Lainnya,21
foom,AK-1000003,Aksesoris Handphone & Tablet Lainnya,3
foom,BO-1000018,Box,2
foom,AK-1000095,Aksesoris Perjalanan,1
foom,SO-1000004,PlayStation,1
asics gel kayano 31,SE-1000019,Sepatu Lari,55
asics gel kayano 31,LI-1000051,Sneakers Sports Pria,17
asics gel kayano 31,LI-1000050,Sneakers Sports Wanita,1
under armour,AK-1000121,Aksesoris Olahraga Lainnya,207
under armour,SE-1000019,Sepatu Lari,180
under armour,SE-1000024,Sepatu Basket,79
under armour,LI-1000049,Lifestyle Sporty Atasan Pria,66
under armour,LI-1000051,Sneakers Sports Pria,36
iphone 17 pro max,CA-1000001,Casing,24
iphone 17 pro max,AK-1000405,Aksesoris Apple,7
iphone 17 pro max,IP-1000001,iPhone,6
tiptop online official store,PE-1000652,Perawatan Kulit Wajah,340
tiptop online official store,PE-1000648,Perawatan Kulit Badan,277
tiptop online official store,MA-1000331,Makanan Halal,242
tiptop online official store,BI-1000034,Biskuit & Snack,228
tiptop online official store,MI-1000188,Minuman Halal,194
h&m,LA-1000004,Laptop,5845
h&m,AI-1000002,Air Conditioner,2138
h&m,GA-1000002,Gaming Laptop,2106
h&m,MO-1000003,Monitor Komputer,1396
h&m,KO-1000006,Komponen,1274
nutrilon royal 3,SU-1000095,Susu Formula & Makanan Bayi,384
nutrilon royal 3,MI-1000188,Minuman Halal,218
nutrilon royal 3,MA-1000331,Makanan Halal,14
nutrilon royal 3,SU-1000100,Susu & Olahan Lainnya,2
nutrilon royal 3,KE-1000032,Keamanan Bayi dan Balita,1
tiptop,PE-1000652,Perawatan Kulit Wajah,340
tiptop,PE-1000648,Perawatan Kulit Badan,277
tiptop,MA-1000331,Makanan Halal,256
tiptop,BI-1000034,Biskuit & Snack,230
tiptop,MI-1000188,Minuman Halal,194
pesan tiket pesawat,JE-1000058,Tour Luar Negeri,208
pesan tiket pesawat,WO-1000026,Wonderful Indonesia,203
pesan tiket pesawat,PR-1000020,Produk Kertas,175
pesan tiket pesawat,TI-1000111,Perlengkapan Perjalanan,149
pesan tiket pesawat,TI-1000113,Tiket Atraksi & Hiburan Luar Negeri,96
butik emas antam official store,GO-1000145,Gold,21
stanley,PE-1000129,Perkakas Tangan,281
stanley,PE-1000134,Perkakas Mesin,195
stanley,PE-1000552,Perkakas Industri,127
stanley,FO-1000002,Kemeja Formal Pria,100
stanley,AL-1000015,Stationery Lainnya,83
baju,T--1000001,T-Shirt Pria,22549
baju,AT-1000001,Atasan Wanita,11749
baju,PA-1000033,Pakaian Anak Laki-Laki,11463
baju,PA-1000036,Pakaian Anak Perempuan,7603
baju,PA-1000037,Pakaian Bayi,5043
blibli,AN-1000001,Android,2132
blibli,PA-1000015,Pakaian Fitness Pria,1799
blibli,RE-1000003,Religi,1615
blibli,CA-1000001,Casing,1527
blibli,MO-1000009,Mobil Baru,1324
liquid vape,PE-1000642,Pembasmi Hama & Serangga,50
liquid vape,NI-1000006,Personalized perfume,6
liquid vape,TA-1000014,Tas Selempang Pria,1
liquid vape,PE-1000060,Pengontrol Hama,1
onitsuka,AK-1000024,Aksesoris & Pembersih Sepatu,42
onitsuka,AT-1000001,Atasan Wanita,3
onitsuka,PA-1000216,Pakaian Set Wanita,1
onitsuka,BA-1000023,Bawahan Wanita,1
onitsuka,AK-1000054,Aksesoris Sepakbola,1
iphone 17 pro,CA-1000001,Casing,48
iphone 17 pro,AK-1000405,Aksesoris Apple,10
iphone 17 pro,IP-1000001,iPhone,7
natur,MU-1000005,Vitamin,3252
natur,PE-1000240,Pelembab Tubuh,280
natur,SH-1000011,Shampoo,169
natur,HE-1000005,Herbal,137
natur,PE-1000224,Perawatan Rambut & Kulit Kepala,128
iphone xr ibox,CA-1000001,Casing,116
iphone xr ibox,IP-1000001,iPhone,67
iphone xr ibox,WE-1000057,Wearable Apple,38
iphone xr ibox,MA-1000384,Mac,35
iphone xr ibox,AK-1000405,Aksesoris Apple,34
salsa,RI-1000006,Produk Riasan Mata,155
salsa,BU-1000097,Bumbu Masak,71
salsa,RI-1000005,Riasan Bibir,61
salsa,RI-1000004,Riasan Wajah,57
salsa,BI-1000034,Biskuit & Snack,53
farmers market official store,MA-1000331,Makanan Halal,5212
farmers market official store,BI-1000034,Biskuit & Snack,2548
farmers market official store,BU-1000097,Bumbu Masak,2091
farmers market official store,MI-1000188,Minuman Halal,1905
farmers market official store,PE-1000648,Perawatan Kulit Badan,1140
polytron,KU-1000008,Kulkas,2811
polytron,TE-1000004,TV LCD/LED,1990
polytron,SP-1000006,Speaker,1929
polytron,ME-1000185,Mesin Cuci,1781
polytron,AK-1000367,Aksesoris TV,793
on,BU-1000065,Buku Impor,9325
on,LA-1000004,Laptop,8314
on,JA-1000120,Jam Tangan Analog Pria,7787
on,MI-1000199,Minyak Angin dan Inhaler,7759
on,AN-1000001,Android,7593
birkenstock,SA-1000009,Sandal Wanita,31
birkenstock,SE-1000019,Sepatu Lari,5
birkenstock,SA-1000002,Sandal Pria,3
birkenstock,SE-1000043,Sepatu Boot Touring,1
pods,AK-1000007,Aksesoris Wearable,167
pods,TR-1000005,"Tripod, Monopod & Mount",144
pods,AK-1000012,Aksesoris Kamera Lainnya,62
pods,CO-1000002,Coffee Maker,51
pods,TR-1000059,True Wireless,50
careso,PE-1000240,Pelembab Tubuh,83
careso,PA-1000047,Parfum Wanita,65
careso,PA-1000051,Paket Parfum,26
careso,SA-1000024,Sabun Mandi,11
careso,PA-1000064,Paket Perawatan Tubuh & Travel Set,8
farmers,MA-1000331,Makanan Halal,5414
farmers,BI-1000034,Biskuit & Snack,2555
farmers,BU-1000097,Bumbu Masak,2101
farmers,MI-1000188,Minuman Halal,1916
farmers,SA-1000086,Sayuran,1240
goojodoq,AK-1000003,Aksesoris Handphone & Tablet Lainnya,7
goojodoq,AL-1000005,Alat Musik,5
goojodoq,KE-1000002,Keyboard & Mouse,5
goojodoq,PO-1000001,Powerbank,2
goojodoq,AK-1000018,Aksesoris Audio,2
decathlon,SM-1000001,Smart Watch,32
decathlon,AC-1000002,Activity Trackers & Pedometers,5
decathlon,HE-1000003,Helm Sepeda,4
decathlon,AK-1000051,Aksesoris & Parts,4
decathlon,AK-1000043,Aksesoris Fitness,4
sony,LE-1000002,Lensa,4862
sony,SO-1000004,PlayStation,4812
